Date,EUR_USD open,EUR_USD high,EUR_USD low,EUR_USD close,EUR_USD volume,AUD_USD open,AUD_USD high,AUD_USD low,AUD_USD close,AUD_USD volume,GBP_USD open,GBP_USD high,GBP_USD low,GBP_USD close,GBP_USD volume,USD_CAD open,USD_CAD high,USD_CAD low,USD_CAD close,USD_CAD volume,NZD_USD open,NZD_USD high,NZD_USD low,NZD_USD close,NZD_USD volume,USD_CHF open,USD_CHF high,USD_CHF low,USD_CHF close,USD_CHF volume,USD_JPY open,USD_JPY high,USD_JPY low,USD_JPY close,USD_JPY volume,USD_NOK open,USD_NOK high,USD_NOK low,USD_NOK close,USD_NOK volume,USD_SEK open,USD_SEK high,USD_SEK low,USD_SEK close,USD_SEK volume,VIX High,VIX Low,VIX Open,VIX Close,VIX Volume,VIX Adj Close,EUR_USD ATR,EUR_USD OBV,EUR_USD RSI,EUR_USD BB_up,EUR_USD BB_dn,AUD_USD ATR,AUD_USD OBV,AUD_USD RSI,AUD_USD BB_up,AUD_USD BB_dn,GBP_USD ATR,GBP_USD OBV,GBP_USD RSI,GBP_USD BB_up,GBP_USD BB_dn,USD_CAD ATR,USD_CAD OBV,USD_CAD RSI,USD_CAD BB_up,USD_CAD BB_dn,NZD_USD ATR,NZD_USD OBV,NZD_USD RSI,NZD_USD BB_up,NZD_USD BB_dn,USD_CHF ATR,USD_CHF OBV,USD_CHF RSI,USD_CHF BB_up,USD_CHF BB_dn,USD_JPY ATR,USD_JPY OBV,USD_JPY RSI,USD_JPY BB_up,USD_JPY BB_dn,USD_NOK ATR,USD_NOK OBV,USD_NOK RSI,USD_NOK BB_up,USD_NOK BB_dn,USD_SEK ATR,USD_SEK OBV,USD_SEK RSI,USD_SEK BB_up,USD_SEK BB_dn
2013-01-14,1.33613,1.34035,1.33362,1.33804,55811,1.05492,1.05768,1.05208,1.05658,46078,1.61312,1.61539,1.60308,1.60738,83130,0.98399,0.98653,0.98311,0.98354,40728,0.83872,0.844,0.83607,0.84264,68286,0.91349,0.92283,0.91191,0.92199,96323,89.299,89.665,89.078,89.476,80654,5.5119,5.52243,5.49777,5.5012,20003,6.453,6.46817,6.43835,6.4407,22454,13.85000038,13.40999985,13.65999985,13.52000046,0,13.52000046,,55811,,,,,46078,,,,,83130,,,,,40728,,,,,68286,,,,,96323,,,,,80654,,,,,20003,,,,,22454,,,
2013-01-15,1.33803,1.33934,1.32642,1.33045,58780,1.05679,1.05694,1.05257,1.05635,33718,1.60738,1.61008,1.60327,1.60637,44875,0.9835,0.98667,0.98318,0.9841,25982,0.84238,0.84396,0.83723,0.83964,34183,0.92199,0.93328,0.92117,0.9317,51396,89.475,89.628,88.287,88.772,51676,5.5011,5.59186,5.49954,5.5671,27325,6.4404,6.52174,6.43922,6.4982,29400,13.98999977,13.32999992,13.97000027,13.55000019,0,13.55000019,,-2969,,,,,12360,,,,,38255,,,,,66710,,,,,34103,,,,,147719,,,,,28978,,,,,47328,,,,,51854,,,
2013-01-16,1.33044,1.33248,1.32569,1.32884,59328,1.05633,1.05803,1.05316,1.05709,34973,1.60635,1.60804,1.59757,1.6005,44080,0.98409,0.98774,0.98377,0.98582,25077,0.83962,0.84294,0.83673,0.84055,32850,0.93169,0.93292,0.92859,0.9309,46489,88.771,88.869,87.794,88.379,55264,5.5665,5.60118,5.56173,5.569,26406,6.4977,6.53717,6.48806,6.5007,27051,13.76000023,13.19999981,13.69999981,13.42000008,0,13.42000008,,-62297,,,,,47333,,,,,-5825,,,,,91787,,,,,66953,,,,,101230,,,,,-26286,,,,,73734,,,,,78905,,,
2013-01-17,1.32887,1.33872,1.32699,1.3371,59767,1.05708,1.0576,1.04937,1.05457,38856,1.60052,1.60389,1.59552,1.59924,42908,0.98584,0.98854,0.98433,0.9856,26010,0.8405,0.84264,0.83261,0.83606,30257,0.93091,0.93601,0.92976,0.93194,48721,88.382,90.132,88.132,89.858,56535,5.5689,5.57538,5.53022,5.5642,24395,6.5006,6.50963,6.45596,6.4897,25315,13.69999981,13.15999985,13.44999981,13.56999969,0,13.56999969,,-2530,,,,,8477,,,,,-48733,,,,,65777,,,,,36696,,,,,149951,,,,,30249,,,,,49339,,,,,53590,,,
2013-01-18,1.33733,1.3398,1.32805,1.33139,58587,1.05455,1.05574,1.04857,1.05082,36212,1.59919,1.60067,1.58539,1.58742,44531,0.98541,0.99464,0.98534,0.99175,28640,0.83601,0.83822,0.83348,0.83584,28333,0.93199,0.93888,0.93047,0.93444,48702,89.849,90.206,89.634,90.071,51295,5.5644,5.6231,5.56078,5.5965,22748,6.49,6.54408,6.47897,6.51407,23053,13.52999973,12.28999996,13.52000046,12.46000004,0,12.46000004,,-61117,,,,,-27735,,,,,-93264,,,,,94417,,,,,8363,,,,,198653,,,,,81544,,,,,72087,,,,,76643,,,
2013-01-22,1.33118,1.33715,1.32667,1.33212,58066,1.05147,1.05783,1.05048,1.05648,35894,1.58273,1.58831,1.58095,1.58378,42596,0.99272,0.99456,0.99089,0.99168,28057,0.83581,0.84296,0.8355,0.84025,29616,0.93192,0.93465,0.92746,0.92859,48673,89.592,90.123,88.367,88.706,58342,5.5956,5.60924,5.57181,5.5757,23423,6.5227,6.53708,6.48304,6.5077,26330,13.31999969,12.43000031,13.27999973,12.43000031,0,12.43000031,,-3051,,,,,8159,,,,,-135860,,,,,66360,,,,,37979,,,,,149980,,,,,23202,,,,,48664,,,,,50313,,,
2013-01-23,1.33211,1.33546,1.32646,1.33175,50064,1.05647,1.05743,1.05277,1.05538,32923,1.58376,1.58923,1.5802,1.58444,38938,0.99167,1.00042,0.99036,0.99909,26883,0.8403,0.84399,0.83917,0.84212,26276,0.92858,0.93156,0.92773,0.92918,39533,88.705,88.793,88.06,88.61,47137,5.5746,5.58836,5.54351,5.5561,21468,6.5065,6.55299,6.50195,6.5159,22476,12.67000008,12.30000019,12.67000008,12.46000004,0,12.46000004,,-53115,,,,,-24764,,,,,-96922,,,,,93243,,,,,64255,,,,,189513,,,,,-23935,,,,,27196,,,,,72789,,,
2013-01-24,1.33174,1.33925,1.32859,1.33745,54000,1.05537,1.05539,1.0444,1.04502,38668,1.58449,1.58517,1.57565,1.57893,39060,0.99908,1.00361,0.9989,1.00242,28295,0.84197,0.84467,0.83746,0.83771,30024,0.92917,0.93245,0.92797,0.92825,42119,88.609,90.555,88.415,90.318,50690,5.5557,5.57337,5.52082,5.5246,21152,6.5159,6.5391,6.48645,6.489,24675,13.5,12.39999962,12.72999954,12.68999958,0,12.68999958,,885,,,,,-63432,,,,,-135982,,,,,121538,,,,,34231,,,,,147394,,,,,26755,,,,,6044,,,,,48114,,,
2013-01-25,1.33744,1.3479,1.33496,1.34521,57065,1.04501,1.04683,1.04032,1.0424,36140,1.57891,1.58266,1.57452,1.57939,43692,1.00243,1.00999,1.00206,1.00578,26327,0.83761,0.83938,0.83545,0.83776,29777,0.92824,0.93066,0.92219,0.92692,45601,90.317,91.194,90.288,90.897,48773,5.5252,5.54345,5.50337,5.52476,23213,6.4896,6.50059,6.43764,6.462,25191,12.98999977,12.5,12.63000011,12.89000034,0,12.89000034,,57950,,,,,-99572,,,,,-92290,,,,,147865,,,,,64008,,,,,101793,,,,,75528,,,,,29257,,,,,22923,,,
2013-01-28,1.34651,1.3477,1.34246,1.34548,49403,1.04151,1.04295,1.03847,1.04162,32599,1.57606,1.57849,1.56742,1.5694,38401,1.00648,1.01001,1.00599,1.00613,22913,0.83532,0.83649,0.82798,0.83355,25191,0.92677,0.92925,0.92574,0.92593,39258,91.045,91.252,90.566,90.837,42329,5.5197,5.54716,5.51743,5.5308,18964,6.4561,6.47894,6.41005,6.4175,21652,13.90999985,13.28999996,13.28999996,13.56999969,0,13.56999969,,107353,,,,,-132171,,,,,-130691,,,,,170778,,,,,38817,,,,,62535,,,,,33199,,,,,48221,,,,,1271,,,
